Season,DayNum,WTeamID,LTeamID,WScore,LScore
2014,1,281,21,74,70
2014,1,1096,63,99,65
2014,1,384,432,79,55
2014,1,177,100,81,62
2014,1,362,620,69,54
2014,1,12,464,96,61
2014,1,38,342,63,56
2014,1,155,454,71,69
2014,1,401,46,72,52
2014,1,6,598,62,56
2014,1,794,1,83,59
2014,1,86,450,76,54
2014,1,1026,55,71,51
2014,1,162,429,84,61
2014,1,598,6,62,56
2014,1,459,130,72,63
2014,1,1046,435,98,56
2014,1,342,38,63,56
2014,1,11,25,67,48
2014,1,444,229,60,58
2014,1,620,362,69,54
2014,1,376,406,61,41
2014,1,25,11,67,48
2014,1,548,513,82,39
2014,1,482,291,95,83
2014,1,56,908,84,55
2014,1,440,373,99,90
2014,1,449,1139,100,76
2014,1,161,93,75,64
2014,1,373,440,99,90
2014,1,419,139,74,64
2014,1,425,96,89,50
2014,1,584,404,78,68
2014,1,1062,807,94,75
2014,1,291,482,95,83
2014,1,17,698,78,73
2014,1,1139,449,100,76
2014,1,93,161,75,64
2014,1,224,1016,74,62
2014,1,404,584,78,68
2014,1,21,855,70,59
2014,1,378,117,73,69
2014,1,855,21,70,59
2014,1,623,916,82,44
2014,1,139,419,74,64
2014,1,698,17,78,73
2014,1,117,378,73,69
2014,1,807,1062,94,75
2014,1,1016,224,74,62
2014,1,452,984,68,60
2014,1,96,425,89,50
2014,1,908,56,84,55
2014,1,984,452,68,60
2014,1,916,623,82,44
2014,1,446,548,95,62
2014,1,342,571,78,75
2014,1,109,655,86,62
2014,1,443,635,93,63
2014,1,30,1026,80,49
2014,1,571,342,78,75
2014,1,124,439,86,73
2014,1,448,583,82,72
2014,1,439,124,86,73
2014,1,583,448,82,72
2014,1,655,109,86,62
2014,1,802,1145,85,59
2014,1,28,410,74,68
2014,1,1107,513,83,75
2014,1,52,302,93,89
2014,1,513,1107,83,75
2014,1,259,497,72,69
2014,1,497,259,72,69
2014,1,635,443,93,63
2014,1,302,52,93,89
2014,1,548,446,95,62
2014,1,1145,802,85,59
2014,1,410,28,74,68
2014,1,1026,30,80,49
2014,1,462,416,112,103
2014,1,449,324,93,61
2014,1,465,304,91,57
2014,1,457,536,80,62
2014,1,828,481,79,76
2014,1,416,462,112,103
2014,1,486,627,89,58
2014,1,424,165,95,82
2014,1,86,119,89,78
2014,1,481,828,79,76
2014,1,41,17,81,77
2014,1,17,41,81,77
2014,1,536,457,80,62
2014,1,165,424,95,82
2014,1,324,449,93,61
2014,1,434,51,81,77
2014,1,51,434,81,77
2014,1,304,465,91,57
2014,1,278,807,75,47
2014,1,60,155,69,61
2014,1,155,60,69,61
2014,1,403,4,66,49
2014,1,627,486,89,58
2014,1,119,86,89,78
2014,1,4,403,66,49
2014,1,807,278,75,47
2014,1,144,11,86,65
2014,1,518,8,86,80
2014,1,445,453,94,83
2014,1,435,443,78,74
2014,1,453,445,94,83
2014,1,916,687,82,79
2014,1,425,161,79,69
2014,1,8,518,86,80
2014,1,19,412,84,77
2014,1,22,130,85,63
2014,1,161,425,79,69
2014,1,348,480,84,79
2014,1,509,85,90,81
2014,1,430,584,95,88
2014,1,85,509,90,81
2014,1,439,106,92,90
2014,1,1,413,67,63
2014,1,106,439,92,90
2014,1,38,1058,114,71
2014,1,996,794,75,64
2014,1,443,435,78,74
2014,1,5,610,87,82
2014,1,409,162,91,60
2014,1,100,170,84,58
2014,1,139,20,77,66
2014,1,402,451,59,53
2014,1,584,430,95,88
2014,1,10,121,95,79
2014,1,412,19,84,77
2014,1,610,5,87,82
2014,1,480,348,84,79
2014,1,421,588,75,54
2014,1,121,10,95,79
2014,1,623,463,66,64
2014,1,130,22,85,63
2014,1,463,623,66,64
2014,1,9,1030,88,75
2014,1,413,1,67,63
2014,1,1058,38,114,71
2014,1,408,406,59,56
2014,1,451,402,59,53
2014,1,245,219,64,59
2014,1,687,916,82,79
2014,1,97,112,71,63
2014,1,11,144,86,65
2014,1,20,139,77,66
2014,1,219,245,64,59
2014,1,641,461,60,58
2014,1,112,97,71,63
2014,1,1030,9,88,75
2014,1,384,854,65,51
2014,1,170,100,84,58
2014,1,406,408,59,56
2014,1,162,409,91,60
2014,1,794,996,75,64
2014,1,461,641,60,58
2014,1,854,384,65,51
2014,1,588,421,75,54
2014,1,258,224,90,80
2014,1,47,673,88,70
2014,1,224,258,90,80
2014,1,52,125,89,79
2014,1,894,117,91,82
2014,1,117,894,91,82
2014,1,560,41,78,76
2014,1,125,52,89,79
2014,1,41,560,78,76
2014,1,407,32,90,59
2014,1,28,444,71,63
2014,1,556,497,73,66
2014,1,158,992,77,57
2014,1,418,1096,82,58
2014,1,469,458,63,58
2014,1,497,556,73,66
2014,1,111,750,80,68
2014,1,458,469,63,58
2014,1,444,28,71,63
2014,1,673,47,88,70
2014,1,109,337,64,52
2014,1,32,407,90,59
2014,1,992,158,77,57
2014,1,750,111,80,68
2014,1,337,109,64,52
2014,1,1096,418,82,58
2014,1,807,104,67,44
2014,1,104,807,67,44
2014,1,22,426,78,65
2014,1,465,417,69,60
2014,1,170,281,77,69
2014,1,60,243,96,95
2014,1,243,60,96,95
2014,1,426,22,78,65
2014,1,331,551,76,64
2014,1,416,634,71,58
2014,1,36,482,84,69
2014,1,482,36,84,69
2014,1,181,204,80,62
2014,1,828,536,72,71
2014,1,480,70,86,72
2014,1,536,828,72,71
2014,1,417,465,69,60
2014,1,551,331,76,64
2014,1,481,620,81,69
2014,1,281,170,77,69
2014,1,438,62,95,69
2014,1,34,984,78,55
2014,1,70,480,86,72
2014,1,634,416,71,58
2014,1,21,96,68,61
2014,1,204,181,80,62
2014,1,620,481,81,69
2014,1,984,34,78,55
2014,1,96,21,68,61
2014,1,62,438,95,69
2014,1,12,466,63,61
2014,1,466,12,63,61
2014,1,641,894,92,90
2014,1,453,997,97,64
2014,1,430,141,86,73
2014,1,354,735,111,92
2014,1,894,641,92,90
2014,1,462,32,108,76
2014,1,423,195,97,63
2014,1,44,1030,105,59
2014,1,441,52,99,54
2014,1,715,8,80,69
2014,1,141,430,86,73
2014,1,448,992,76,44
2014,1,183,46,80,71
2014,1,117,9,83,73
2014,1,996,384,70,69
2014,1,735,354,111,92
2014,1,217,1016,73,57
2014,1,415,412,72,62
2014,1,412,415,72,62
2014,1,8,715,80,69
2014,1,1,97,79,56
2014,1,75,619,94,60
2014,1,854,797,74,60
2014,1,797,854,74,60
2014,1,32,462,108,76
2014,1,162,120,64,60
2014,1,195,423,97,63
2014,1,384,996,70,69
2014,1,9,117,83,73
2014,1,11,1107,73,70
2014,1,1107,11,73,70
2014,1,356,627,72,59
2014,1,997,453,97,64
2014,1,46,183,80,71
2014,1,158,168,70,60
2014,1,627,356,72,59
2014,1,168,158,70,60
2014,1,619,75,94,60
2014,1,120,162,64,60
2014,1,429,583,62,54
2014,1,1016,217,73,57
2014,1,1030,44,105,59
2014,1,52,441,99,54
2014,1,583,429,62,54
2014,1,97,1,79,56
2014,1,992,448,76,44
2014,1,456,419,83,79
2014,1,419,456,83,79
2014,1,1139,139,87,64
2014,1,324,405,88,67
2014,1,434,376,77,66
2014,1,378,401,76,55
2014,1,224,698,83,71
2014,1,450,440,80,74
2014,1,20,373,78,74
2014,1,1145,655,84,73
2014,1,373,20,78,74
2014,1,74,144,71,64
2014,1,58,222,70,67
2014,1,130,571,80,73
2014,1,100,155,74,59
2014,1,440,450,80,74
2014,1,98,584,92,80
2014,1,3,408,92,71
2014,1,571,130,80,73
2014,1,376,434,77,66
2014,1,51,406,70,57
2014,1,406,51,70,57
2014,1,451,576,86,56
2014,1,222,58,70,67
2014,1,408,3,92,71
2014,1,48,93,76,70
2014,1,584,98,92,80
2014,1,452,1127,74,67
2014,1,588,121,80,64
2014,1,22,50,67,63
2014,1,576,451,86,56
2014,1,93,48,76,70
2014,1,1127,452,74,67
2014,1,21,635,75,44
2014,1,402,586,69,66
2014,1,405,324,88,67
2014,1,144,74,71,64
2014,1,586,402,69,66
2014,1,655,1145,84,73
2014,1,50,22,67,63
2014,1,414,799,69,50
2014,1,106,354,88,74
2014,1,698,224,83,71
2014,1,362,459,72,70
2014,1,560,437,77,74
2014,1,401,378,76,55
2014,1,139,1139,87,64
2014,1,437,560,77,74
2014,1,354,106,88,74
2014,1,121,588,80,64
2014,1,155,100,74,59
2014,1,799,414,69,50
2014,1,459,362,72,70
2014,1,425,38,52,35
2014,1,635,21,75,44
2014,1,4,112,57,50
2014,1,112,4,57,50
2014,1,38,425,52,35
2014,1,565,104,90,83
2014,1,421,992,84,52
2014,1,162,449,82,67
2014,1,457,259,77,60
2014,1,449,162,82,67
2014,1,60,429,83,80
2014,1,109,802,81,55
2014,1,5,1062,96,83
2014,1,124,997,82,79
2014,1,41,219,75,58
2014,1,1062,5,96,83
2014,1,513,807,103,41
2014,1,454,245,90,79
2014,1,997,124,82,79
2014,1,243,30,83,70
2014,1,444,304,71,58
2014,1,259,457,77,60
2014,1,181,177,80,66
2014,1,443,85,87,49
2014,1,44,556,90,74
2014,1,104,565,90,83
2014,1,161,337,76,72
2014,1,55,623,71,57
2014,1,521,70,92,80
2014,1,429,60,83,80
2014,1,712,97,102,94
2014,1,556,44,90,74
2014,1,436,446,77,70
2014,1,70,521,92,80
2014,1,446,436,77,70
2014,1,219,41,75,58
2014,1,97,712,102,94
2014,1,802,109,81,55
2014,1,337,161,76,72
2014,1,30,243,83,70
2014,1,623,55,71,57
2014,1,304,444,71,58
2014,1,177,181,80,66
2014,1,992,421,84,52
2014,1,32,12,90,84
2014,1,245,454,90,79
2014,1,12,32,90,84
2014,1,85,443,87,49
2014,1,807,513,103,41
2014,1,63,486,89,78
2014,1,465,797,100,50
2014,1,518,1046,96,70
2014,1,548,784,87,76
2014,1,453,208,91,55
2014,1,451,342,67,53
2014,1,482,551,80,71
2014,1,598,641,74,66
2014,1,784,548,87,76
2014,1,279,426,70,69
2014,1,420,139,70,49
2014,1,551,482,80,71
2014,1,486,63,89,78
2014,1,571,576,76,59
2014,1,426,279,70,69
2014,1,641,598,74,66
2014,1,342,451,67,53
2014,1,797,465,100,50
2014,1,1046,518,96,70
2014,1,576,571,76,59
2014,1,208,453,91,55
2014,1,139,420,70,49
2014,1,291,208,80,78
2014,1,208,291,80,78
2014,1,636,402,103,85
2014,1,443,9,105,76
2014,1,423,438,101,80
2014,1,402,636,103,85
2014,1,465,627,87,59
2014,1,441,854,87,48
2014,1,224,373,79,72
2014,1,373,224,79,72
2014,1,58,8,85,77
2014,1,258,217,67,63
2014,1,100,459,82,72
2014,1,9,443,105,76
2014,1,464,11,86,80
2014,1,735,655,78,54
2014,1,331,518,75,58
2014,1,459,100,82,72
2014,1,445,378,86,66
2014,1,8,58,85,77
2014,1,324,141,82,74
2014,1,141,324,82,74
2014,1,278,20,72,70
2014,1,11,464,86,80
2014,1,20,278,72,70
2014,1,217,258,67,63
2014,1,378,445,86,66
2014,1,438,423,101,80
2014,1,3,112,76,66
2014,1,807,687,71,64
2014,1,862,828,70,59
2014,1,10,56,76,62
2014,1,627,465,87,59
2014,1,687,807,71,64
2014,1,518,331,75,58
2014,1,97,635,74,61
2014,1,854,441,87,48
2014,1,984,119,73,69
2014,1,828,862,70,59
2014,1,112,3,76,66
2014,1,635,97,74,61
2014,1,655,735,78,54
2014,1,119,984,73,69
2014,1,56,10,76,62
2014,1,421,177,77,58
2014,1,509,222,81,80
2014,1,426,404,83,74
2014,1,403,410,77,54
2014,1,60,715,94,64
2014,1,455,183,82,72
2014,1,448,1139,86,68
2014,1,1139,448,86,68
2014,1,446,462,90,88
2014,1,1062,467,70,59
2014,1,462,446,90,88
2014,1,222,509,81,80
2014,1,404,426,83,74
2014,1,183,455,82,72
2014,1,177,421,77,58
2014,1,799,52,81,58
2014,1,588,461,63,46
2014,1,410,403,77,54
2014,1,425,466,63,52
2014,1,229,430,67,63
2014,1,466,425,63,52
2014,1,467,1062,70,59
2014,1,715,60,94,64
2014,1,430,229,67,63
2014,1,161,96,65,62
2014,1,52,799,81,58
2014,1,96,161,65,62
2014,1,461,588,63,46
2014,1,51,46,94,82
2014,1,100,401,79,57
2014,1,439,432,96,90
2014,1,44,70,102,84
2014,1,449,6,90,74
2014,1,451,571,79,59
2014,1,436,304,85,61
2014,1,124,457,72,70
2014,1,432,439,96,90
2014,1,70,44,102,84
2014,1,6,449,90,74
2014,1,111,408,85,67
2014,1,85,9,88,81
2014,1,416,482,97,71
2014,1,46,51,94,82
2014,1,482,416,97,71
2014,1,1016,139,68,61
2014,1,571,451,79,59
2014,1,481,431,97,94
2014,1,9,85,88,81
2014,1,457,124,72,70
2014,1,144,458,76,68
2014,1,1030,112,89,75
2014,1,415,712,80,73
2014,1,458,144,76,68
2014,1,112,1030,89,75
2014,1,17,55,72,58
2014,1,551,281,68,54
2014,1,431,481,97,94
2014,1,712,415,80,73
2014,1,4,548,73,58
2014,1,28,418,72,55
2014,1,75,855,79,54
2014,1,121,908,74,73
2014,1,55,17,72,58
2014,1,139,1016,68,61
2014,1,750,36,63,58
2014,1,181,992,75,62
2014,1,418,28,72,55
2014,1,304,436,85,61
2014,1,497,47,63,56
2014,1,908,121,74,73
2014,1,401,100,79,57
2014,1,47,497,63,56
2014,1,281,551,68,54
2014,1,548,4,73,58
2014,1,855,75,79,54
2014,1,992,181,75,62
2014,1,408,111,85,67
2014,1,36,750,63,58
2014,1,47,444,90,63
2014,1,124,70,89,78
2014,1,435,610,96,77
2014,1,481,432,87,74
2014,1,454,407,84,80
2014,1,304,408,73,67
2014,1,17,46,83,81
2014,1,55,51,85,54
2014,1,52,20,71,70
2014,1,436,111,82,80
2014,1,111,436,82,80
2014,1,560,424,86,85
2014,1,424,560,86,85
2014,1,464,802,70,58
2014,1,408,304,73,67
2014,1,610,435,96,77
2014,1,373,96,78,59
2014,1,409,97,81,70
2014,1,432,481,87,74
2014,1,521,259,80,68
2014,1,439,431,81,65
2014,1,119,641,83,81
2014,1,407,454,84,80
2014,1,70,124,89,78
2014,1,170,894,75,74
2014,1,46,17,83,81
2014,1,97,409,81,70
2014,1,894,170,75,74
2014,1,19,279,66,59
2014,1,641,119,83,81
2014,1,279,19,66,59
2014,1,20,52,71,70
2014,1,619,1096,80,75
2014,1,576,342,85,82
2014,1,513,698,86,55
2014,1,1026,280,72,63
2014,1,444,47,90,63
2014,1,802,464,70,58
2014,1,96,373,78,59
2014,1,1096,619,80,75
2014,1,713,25,67,63
2014,1,25,713,67,63
2014,1,51,55,85,54
2014,1,229,324,72,65
2014,1,420,8,67,60
2014,1,280,1026,72,63
2014,1,431,439,81,65
2014,1,121,62,80,77
2014,1,62,121,80,77
2014,1,44,457,59,58
2014,1,457,44,59,58
2014,1,342,576,85,82
2014,1,8,420,67,60
2014,1,324,229,72,65
2014,1,259,521,80,68
2014,1,698,513,86,55
2014,1,258,467,77,64
2014,1,712,548,96,78
2014,1,259,480,74,68
2014,1,60,583,81,70
2014,1,32,466,68,64
2014,1,337,376,81,49
2014,1,437,536,81,54
2014,1,430,141,77,68
2014,1,378,48,89,73
2014,1,74,34,87,68
2014,1,117,85,87,74
2014,1,429,155,82,72
2014,1,402,28,76,67
2014,1,19,673,74,70
2014,1,456,410,82,72
2014,1,348,588,86,77
2014,1,28,402,76,67
2014,1,155,429,82,72
2014,1,435,424,87,76
2014,1,1096,25,77,74
2014,1,25,1096,77,74
2014,1,85,117,87,74
2014,1,406,784,75,53
2014,1,735,168,75,67
2014,1,424,435,87,76
2014,1,548,712,96,78
2014,1,784,406,75,53
2014,1,1030,4,67,64
2014,1,50,1107,88,80
2014,1,588,348,86,77
2014,1,560,610,68,67
2014,1,610,560,68,67
2014,1,467,258,77,64
2014,1,112,415,66,58
2014,1,1107,50,88,80
2014,1,673,19,74,70
2014,1,168,735,75,67
2014,1,466,32,68,64
2014,1,8,96,75,66
2014,1,480,259,74,68
2014,1,410,456,82,72
2014,1,583,60,81,70
2014,1,141,430,77,68
2014,1,797,219,67,63
2014,1,219,797,67,63
2014,1,34,74,87,68
2014,1,62,908,78,72
2014,1,556,997,67,61
2014,1,98,794,72,63
2014,1,96,8,75,66
2014,1,86,125,69,63
2014,1,4,1030,67,64
2014,1,908,62,78,72
2014,1,376,337,81,49
2014,1,536,437,81,54
2014,1,794,98,72,63
2014,1,997,556,67,61
2014,1,619,713,64,61
2014,1,415,112,66,58
2014,1,48,378,89,73
2014,1,125,86,69,63
2014,1,713,619,64,61
2014,1,453,139,91,90
2014,1,139,453,91,90
2014,1,429,441,93,84
2014,1,432,46,73,65
2014,1,409,119,106,65
2014,1,636,426,95,77
2014,1,422,894,100,82
2014,1,47,408,84,80
2014,1,441,429,93,84
2014,1,224,916,93,67
2014,1,46,432,73,65
2014,1,583,854,80,55
2014,1,1096,713,73,72
2014,1,104,93,80,66
2014,1,17,481,87,66
2014,1,916,224,93,67
2014,1,486,195,87,61
2014,1,713,1096,73,72
2014,1,420,373,71,63
2014,1,480,521,81,58
2014,1,356,183,78,71
2014,1,93,104,80,66
2014,1,894,422,100,82
2014,1,687,6,64,62
2014,1,431,51,79,58
2014,1,448,458,70,62
2014,1,458,448,70,62
2014,1,14,152,79,62
2014,1,439,55,62,56
2014,1,195,486,87,61
2014,1,408,47,84,80
2014,1,1127,401,66,56
2014,1,373,420,71,63
2014,1,24,20,81,73
2014,1,25,619,79,63
2014,1,183,356,78,71
2014,1,497,111,62,60
2014,1,6,687,64,62
2014,1,426,636,95,77
2014,1,152,14,79,62
2014,1,521,480,81,58
2014,1,20,24,81,73
2014,1,51,431,79,58
2014,1,97,641,63,58
2014,1,111,497,62,60
2014,1,119,409,106,65
2014,1,481,17,87,66
2014,1,55,439,62,56
2014,1,619,25,79,63
2014,1,641,97,63,58
2014,1,444,304,52,38
2014,1,854,583,80,55
2014,1,401,1127,66,56
2014,1,304,444,52,38
2014,1,464,38,79,77
2014,1,455,449,84,79
2014,1,421,551,76,53
2014,1,38,464,79,77
2014,1,423,280,93,67
2014,1,120,63,85,77
2014,1,414,100,75,67
2014,1,449,455,84,79
2014,1,1,807,93,65
2014,1,100,414,75,67
2014,1,181,416,86,76
2014,1,86,52,86,71
2014,1,425,469,65,50
2014,1,281,992,77,65
2014,1,416,181,86,76
2014,1,117,443,68,61
2014,1,807,1,93,65
2014,1,63,120,85,77
2014,1,462,412,86,82
2014,1,469,425,65,50
2014,1,627,208,73,56
2014,1,208,627,73,56
2014,1,443,117,68,61
2014,1,280,423,93,67
2014,1,634,794,72,59
2014,1,291,797,70,62
2014,1,412,462,86,82
2014,1,794,634,72,59
2014,1,93,373,65,50
2014,1,177,482,67,63
2014,1,992,281,77,65
2014,1,551,421,76,53
2014,1,482,177,67,63
2014,1,52,86,86,71
2014,1,104,420,56,52
2014,1,797,291,70,62
2014,1,420,104,56,52
2014,1,373,93,65,50
2014,1,421,416,88,67
2014,1,414,120,92,81
2014,1,120,414,92,81
2014,1,170,70,83,79
2014,1,565,1096,101,81
2014,1,337,750,85,70
2014,1,63,100,87,73
2014,1,571,168,80,62
2014,1,415,1030,98,78
2014,1,404,162,99,88
2014,1,162,404,99,88
2014,1,70,170,83,79
2014,1,32,258,69,64
2014,1,5,158,78,60
2014,1,1030,415,98,78
2014,1,21,679,83,71
2014,1,14,195,88,55
2014,1,74,405,77,71
2014,1,455,463,67,66
2014,1,551,181,76,64
2014,1,161,437,76,67
2014,1,509,536,79,76
2014,1,416,421,88,67
2014,1,222,48,71,66
2014,1,402,418,63,57
2014,1,278,1016,70,67
2014,1,281,177,74,61
2014,1,100,63,87,73
2014,1,797,828,73,72
2014,1,463,455,67,66
2014,1,750,337,85,70
2014,1,536,509,79,76
2014,1,302,457,76,66
2014,1,405,74,77,71
2014,1,679,21,83,71
2014,1,627,1046,76,71
2014,1,1046,627,76,71
2014,1,1096,565,101,81
2014,1,529,85,81,66
2014,1,48,222,71,66
2014,1,457,302,76,66
2014,1,610,996,75,54
2014,1,362,356,84,50
2014,1,406,245,69,40
2014,1,168,571,80,62
2014,1,908,121,77,62
2014,1,486,152,72,53
2014,1,437,161,76,67
2014,1,828,797,73,72
2014,1,258,32,69,64
2014,1,403,462,75,62
2014,1,85,529,81,66
2014,1,462,403,75,62
2014,1,11,109,61,59
2014,1,181,551,76,64
2014,1,712,4,74,64
2014,1,1016,278,70,67
2014,1,482,992,63,54
2014,1,109,11,61,59
2014,1,195,14,88,55
2014,1,177,281,74,61
2014,1,418,402,63,57
2014,1,4,712,74,64
2014,1,219,125,70,57
2014,1,158,5,78,60
2014,1,996,610,75,54
2014,1,121,908,77,62
2014,1,125,219,70,57
2014,1,152,486,72,53
2014,1,916,217,65,47
2014,1,356,362,84,50
2014,1,217,916,65,47
2014,1,992,482,63,54
2014,1,245,406,69,40
2014,1,449,63,91,81
2014,1,414,463,74,67
2014,1,63,449,91,81
2014,1,455,120,82,64
2014,1,463,414,74,67
2014,1,402,5,70,63
2014,1,862,465,66,62
2014,1,5,402,70,63
2014,1,120,455,82,64
2014,1,453,331,74,64
2014,1,243,410,63,62
2014,1,1026,679,75,68
2014,1,679,1026,75,68
2014,1,410,243,63,62
2014,1,418,158,62,52
2014,1,465,862,66,62
2014,1,3,376,69,57
2014,1,158,418,62,52
2014,1,331,453,74,64
2014,1,376,3,69,57
2014,1,409,641,105,84
2014,1,456,464,88,60
2014,1,423,24,97,87
2014,1,98,634,78,67
2014,1,438,20,87,60
2014,1,445,71,87,78
2014,1,141,413,78,70
2014,1,106,419,82,65
2014,1,38,56,86,66
2014,1,641,409,105,84
2014,1,407,10,94,79
2014,1,97,119,88,75
2014,1,24,423,97,87
2014,1,71,445,87,78
2014,1,58,6,76,69
2014,1,6,58,76,69
2014,1,450,36,71,63
2014,1,10,407,94,79
2014,1,119,97,88,75
2014,1,634,98,78,67
2014,1,36,450,71,63
2014,1,413,141,78,70
2014,1,1,513,77,74
2014,1,56,38,86,66
2014,1,513,1,77,74
2014,1,20,438,87,60
2014,1,419,106,82,65
2014,1,464,456,88,60
2014,1,409,634,95,79
2014,1,513,141,89,53
2014,1,486,406,76,73
2014,1,456,417,86,80
2014,1,406,486,76,73
2014,1,38,450,76,60
2014,1,417,456,86,80
2014,1,224,217,89,82
2014,1,419,20,78,66
2014,1,50,588,84,74
2014,1,687,410,72,65
2014,1,104,96,89,62
2014,1,634,409,95,79
2014,1,111,451,67,66
2014,1,362,183,77,67
2014,1,448,586,76,64
2014,1,497,408,79,66
2014,1,437,337,117,108
2014,1,98,641,83,70
2014,1,423,58,69,67
2014,1,435,32,98,65
2014,1,453,465,72,66
2014,1,460,984,95,67
2014,1,144,281,83,64
2014,1,413,1,64,49
2014,1,424,576,101,81
2014,1,862,331,85,83
2014,1,337,437,117,108
2014,1,422,348,85,62
2014,1,408,497,79,66
2014,1,71,10,77,63
2014,1,894,139,72,61
2014,1,58,423,69,67
2014,1,441,279,69,38
2014,1,217,224,89,82
2014,1,551,204,94,64
2014,1,465,453,72,66
2014,1,588,50,84,74
2014,1,152,195,75,49
2014,1,586,448,76,64
2014,1,348,422,85,62
2014,1,451,111,67,66
2014,1,984,460,95,67
2014,1,97,794,86,82
2014,1,52,404,83,70
2014,1,794,97,86,82
2014,1,784,245,70,53
2014,1,331,862,85,83
2014,1,438,106,76,69
2014,1,59,25,76,60
2014,1,106,438,76,69
2014,1,32,435,98,65
2014,1,9,412,72,69
2014,1,610,86,81,56
2014,1,356,916,85,78
2014,1,6,24,69,54
2014,1,584,170,72,61
2014,1,55,459,69,40
2014,1,576,424,101,81
2014,1,641,98,83,70
2014,1,404,52,83,70
2014,1,20,419,78,66
2014,1,96,104,89,62
2014,1,281,144,83,64
2014,1,139,894,72,61
2014,1,461,636,70,43
2014,1,410,687,72,65
2014,1,916,356,85,78
2014,1,450,38,76,60
2014,1,407,445,63,59
2014,1,25,59,76,60
2014,1,183,362,77,67
2014,1,445,407,63,59
2014,1,415,548,60,55
2014,1,204,551,94,64
2014,1,1,413,64,49
2014,1,24,6,69,54
2014,1,141,513,89,53
2014,1,170,584,72,61
2014,1,412,9,72,69
2014,1,10,71,77,63
2014,1,548,415,60,55
2014,1,86,610,81,56
2014,1,195,152,75,49
2014,1,36,56,48,46
2014,1,56,36,48,46
2014,1,245,784,70,53
2014,1,279,441,69,38
2014,1,459,55,69,40
2014,1,636,461,70,43
2014,1,22,168,89,64
2014,1,413,71,82,63
2014,1,362,224,79,76
2014,1,454,85,86,67
2014,1,588,598,96,86
2014,1,348,461,73,71
2014,1,469,908,79,54
2014,1,21,431,73,66
2014,1,513,407,88,83
2014,1,224,362,79,76
2014,1,304,70,92,89
2014,1,71,413,82,63
2014,1,422,636,91,76
2014,1,112,712,88,78
2014,1,70,304,92,89
2014,1,51,1026,86,80
2014,1,1026,51,86,80
2014,1,10,1,84,78
2014,1,598,588,96,86
2014,1,421,1062,84,67
2014,1,445,141,67,63
2014,1,462,74,85,74
2014,1,431,21,73,66
2014,1,324,430,85,83
2014,1,1062,421,84,67
2014,1,461,348,73,71
2014,1,219,259,66,65
2014,1,509,698,79,76
2014,1,407,513,88,83
2014,1,195,245,72,65
2014,1,168,22,89,64
2014,1,74,462,85,74
2014,1,636,422,91,76
2014,1,245,195,72,65
2014,1,430,324,85,83
2014,1,19,571,65,55
2014,1,448,687,71,50
2014,1,217,183,69,58
2014,1,14,486,55,52
2014,1,259,219,66,65
2014,1,486,14,55,52
2014,1,698,509,79,76
2014,1,85,454,86,67
2014,1,908,469,79,54
2014,1,183,217,69,58
2014,1,222,258,66,53
2014,1,141,445,67,63
2014,1,48,627,61,54
2014,1,586,410,67,59
2014,1,47,715,70,49
